group_key,class_name,split,available_segments,recordings
Cargo/20171104a-2/2.wav,Cargo,test,146,1
Cargo/20171107-5/5.wav,Cargo,test,69,1
Cargo/20171111g-11/11.wav,Cargo,test,147,1
Cargo/20171114a-14/14.wav,Cargo,test,127,1
Cargo/20171117d-26/225044.wav,Cargo,test,73,1
Cargo/20171119b-29/151043.wav,Cargo,test,113,1
Cargo/20171122c-37/113017.wav,Cargo,test,155,1
Cargo/20171122d-38/38.wav,Cargo,test,65,1
Cargo/20171204a-67/051220.wav,Cargo,test,69,1
Cargo/20171205e-71/111659.wav,Cargo,test,91,1
Cargo/20171207f-83/190947.wav,Cargo,test,83,1
Cargo/20171212d-94/141302.wav,Cargo,test,142,1
Cargo/20171104-1/1.wav,Cargo,train,152,1
Cargo/20171105a-3/3.wav,Cargo,train,99,1
Cargo/20171106-4/4.wav,Cargo,train,109,1
Cargo/20171107b-6/6.wav,Cargo,train,162,1
Cargo/20171110-7/7.wav,Cargo,train,178,1
Cargo/20171111e-9/9.wav,Cargo,train,100,1
Cargo/20171112-12/12.wav,Cargo,train,85,1
Cargo/20171113-13/13.wav,Cargo,train,115,1
Cargo/20171114c-16/16.wav,Cargo,train,98,1
Cargo/20171114d-17/17.wav,Cargo,train,72,1
Cargo/20171115a-18/18.wav,Cargo,train,145,1
Cargo/20171115b-19/19.wav,Cargo,train,113,1
Cargo/20171115d-20/20.wav,Cargo,train,130,1
Cargo/20171116-22/002044.wav,Cargo,train,119,1
Cargo/20171117a-24/045829.wav,Cargo,train,100,1
Cargo/20171117b-25/055206.wav,Cargo,train,126,1
Cargo/20171118-27/27.wav,Cargo,train,65,1
Cargo/20171118a-28/074918.wav,Cargo,train,162,1
Cargo/20171120-30/214753.wav,Cargo,train,108,1
Cargo/20171121c-32/111158.wav,Cargo,train,245,1
Cargo/20171121e-33/202039.wav,Cargo,train,115,1
Cargo/20171121f-34/210343.wav,Cargo,train,130,1
Cargo/20171122a-35/060651.wav,Cargo,train,101,1
Cargo/20171123c-40/135730.wav,Cargo,train,179,1
Cargo/20171124a-41/41.wav,Cargo,train,61,1
Cargo/20171124c-42/134001.wav,Cargo,train,135,1
Cargo/20171125-44/44.wav,Cargo,train,66,1
Cargo/20171125c-46/134833.wav,Cargo,train,195,1
Cargo/20171125d-47/214505.wav,Cargo,train,71,1
Cargo/20171126-49/023314.wav,Cargo,train,83,1
Cargo/20171126a-50/035027.wav,Cargo,train,75,1
Cargo/20171126b-51/044753.wav,Cargo,train,159,1
Cargo/20171126c-52/063408.wav,Cargo,train,124,1
Cargo/20171127-53/231436.wav,Cargo,train,118,1
Cargo/20171128a-54/080742.wav,Cargo,train,131,1
Cargo/20171129-55/000645.wav,Cargo,train,118,1
Cargo/20171130c-58/231720.wav,Cargo,train,146,1
Cargo/20171201-59/080357.wav,Cargo,train,102,1
Cargo/20171201a-60/111402.wav,Cargo,train,97,1
Cargo/20171202a-61/054923.wav,Cargo,train,114,1
Cargo/20171202b-62/62.wav,Cargo,train,66,1
Cargo/20171202c-63/123015.wav,Cargo,train,121,1
Cargo/20171202e-64/141802.wav,Cargo,train,186,1
Cargo/20171203-65/191824.wav,Cargo,train,123,1
Cargo/20171204-66/024305.wav,Cargo,train,70,1
Cargo/20171205a-70/030344.wav,Cargo,train,124,1
Cargo/20171205f-72/114551.wav,Cargo,train,104,1
Cargo/20171205g-73/124454.wav,Cargo,train,146,1
Cargo/20171205h-74/140834.wav,Cargo,train,136,1
Cargo/20171205i-75/202122.wav,Cargo,train,73,1
Cargo/20171206-76/004911.wav,Cargo,train,166,1
Cargo/20171206a-77/014907.wav,Cargo,train,122,1
Cargo/20171207-79/010450.wav,Cargo,train,80,1
Cargo/20171207a-80/013045.wav,Cargo,train,154,1
Cargo/20171207b-81/032120.wav,Cargo,train,183,1
Cargo/20171208-84/005033.wav,Cargo,train,122,1
Cargo/20171209b-86/054935.wav,Cargo,train,69,1
Cargo/20171210-88/004442.wav,Cargo,train,179,1
Cargo/20171210a-89/020139.wav,Cargo,train,127,1
Cargo/20171212a-91/003918.wav,Cargo,train,85,1
Cargo/20171212b-92/040423.wav,Cargo,train,120,1
Cargo/20171212c-93/101404.wav,Cargo,train,68,1
Cargo/20171213-95/042800.wav,Cargo,train,86,1
Cargo/20171213b-96/96.wav,Cargo,train,66,1
Cargo/20171213e-98/231302.wav,Cargo,train,189,1
Cargo/20171213g-100/234857.wav,Cargo,train,116,1
Cargo/20171214a-101/075400.wav,Cargo,train,106,1
Cargo/20171214d-103/103.wav,Cargo,train,66,1
Cargo/20171214e-104/213748.wav,Cargo,train,83,1
Cargo/20171214f-105/215513.wav,Cargo,train,154,1
Cargo/20171215-106/014609.wav,Cargo,train,112,1
Cargo/20171215a-107/112126.wav,Cargo,train,78,1
Cargo/20171215b-108/114505.wav,Cargo,train,120,1
Cargo/20171215c-109/141018.wav,Cargo,train,222,1
Cargo/20171215d-110/110.wav,Cargo,train,67,1
Cargo/20171215e-111/214529.wav,Cargo,train,69,1
Cargo/20171111-8/8.wav,Cargo,val,93,1
Cargo/20171111f-10/10.wav,Cargo,val,97,1
Cargo/20171114b-15/15.wav,Cargo,val,62,1
Cargo/20171121-31/031902.wav,Cargo,val,340,1
Cargo/20171122b-36/075414.wav,Cargo,val,89,1
Cargo/20171123-39/004508.wav,Cargo,val,116,1
Cargo/20171124d-43/161634.wav,Cargo,val,117,1
Cargo/20171125b-45/45.wav,Cargo,val,121,1
Cargo/20171125e-48/234924.wav,Cargo,val,166,1
Cargo/20171129c-56/075459.wav,Cargo,val,181,1
Cargo/20171130-57/165031.wav,Cargo,val,118,1
Cargo/20171204b-68/201125.wav,Cargo,val,118,1
Cargo/20171205-69/69.wav,Cargo,val,61,1
Cargo/20171206e-78/78.wav,Cargo,val,64,1
Cargo/20171207d-82/100039.wav,Cargo,val,76,1
Cargo/20171209-85/001029.wav,Cargo,val,180,1
Cargo/20171209c-87/140111.wav,Cargo,val,137,1
Cargo/20171210c-90/124043.wav,Cargo,val,123,1
Cargo/20171213d-97/154210.wav,Cargo,val,92,1
Cargo/20171213f-99/99.wav,Cargo,val,62,1
Cargo/20171214b-102/091542.wav,Cargo,val,147,1
CONTENT:94bde64a5665730daaa14102751433f7ff631de0cf48eee6917b4f1e2cc57419,Passenger,test,350,2
Passenger/20160522-11/182048.wav,Passenger,test,160,1
Passenger/20160716-26/035748.wav,Passenger,test,106,1
Passenger/20160827-37/37.wav,Passenger,test,54,1
Passenger/20160904a-39/035818.wav,Passenger,test,92,1
Passenger/20170430-69/011712.wav,Passenger,test,22,1
Passenger/20170509-74/174012.wav,Passenger,test,121,1
Passenger/20170616-94/174832.wav,Passenger,test,154,1
