relative_path,class_name,match_status,match_method,match_confidence,metadata_record_id,ais_type_code,metadata_date,metadata_time,raw_vessel_name,canonical_vessel_name,mmsi,vessel_key,ambiguous_vessel_name
Cargo/20171104-1/1.wav,Cargo,matched,record_id_and_date,high,1,70,20171104,203623,SEASPAN SWIFT,SEASPAN SWIFT,,NAME:f0ec5fb36652,False
Cargo/20171104a-2/2.wav,Cargo,matched,record_id_and_date,high,2,70,20171104,223241,ISTRA ACE,ISTRA ACE,,NAME:1533fa5c8ebe,False
Cargo/20171105a-3/3.wav,Cargo,matched,record_id_and_date,high,3,70,20171105,084406,SAMOS WARRIOR,SAMOS WARRIOR,,NAME:7a966cb92647,False
Cargo/20171106-4/4.wav,Cargo,matched,record_id_and_date,high,4,70,20171106,115234,NYK REMUS,NYK REMUS,,NAME:a24be31ff777,False
Cargo/20171107-5/5.wav,Cargo,matched,record_id_and_date,high,5,76,20171107,000452,SEASPAN RELIANT,SEASPAN RELIANT,,NAME:d5212f5376c5,False
Cargo/20171107b-6/6.wav,Cargo,matched,record_id_and_date,high,6,79,20171107,075012,PRINCESS SUPERIOR,PRINCESS SUPERIOR,,NAME:3ab5953ca290,False
Cargo/20171110-7/7.wav,Cargo,matched,record_id_and_date,high,7,70,20171110,121636,UNITED SPIRIT,UNITED SPIRIT,,NAME:75855f8e8979,False
Cargo/20171111-8/8.wav,Cargo,matched,record_id_and_date,high,8,79,20171111,030510,PRINCESS SUPERIOR,PRINCESS SUPERIOR,,NAME:3ab5953ca290,False
Cargo/20171111e-9/9.wav,Cargo,matched,record_id_and_date,high,9,74,20171111,201843,ITAL UNIVERSO,ITAL UNIVERSO,,NAME:4ee15de8a55a,False
Cargo/20171111f-10/10.wav,Cargo,matched,record_id_and_date,high,10,70,20171111,212650,SEASPAN SWIFT,SEASPAN SWIFT,,NAME:f0ec5fb36652,False
Cargo/20171111g-11/11.wav,Cargo,matched,record_id_and_date,high,11,70,20171111,234213,EMINENT ACE,EMINENT ACE,,NAME:c110a032c444,False
Cargo/20171112-12/12.wav,Cargo,matched,record_id_and_date,high,12,70,20171112,084555,HARVEST LEADER,HARVEST LEADER,,NAME:4c77e6b801e7,False
Cargo/20171113-13/13.wav,Cargo,matched,record_id_and_date,high,13,70,20171113,002202,MERLIN ARROW,MERLIN ARROW,,NAME:d84e45f0d825,False
Cargo/20171114a-14/14.wav,Cargo,matched,record_id_and_date,high,14,71,20171114,180932,APL PARIS,APL PARIS,,NAME:619b115ec925,False
Cargo/20171114b-15/15.wav,Cargo,matched,record_id_and_date,high,15,70,20171114,195740,NEW NADA,NEW NADA,,NAME:38c12430c02b,False
Cargo/20171114c-16/16.wav,Cargo,matched,record_id_and_date,high,16,70,20171114,200823,NEW NADA,NEW NADA,,NAME:38c12430c02b,False
