relative_path,class_name,sample_rate,num_frames,channels,duration_seconds,file_size_bytes,content_sha256,full_segments
Cargo/20171104-1/1.wav,Cargo,32000,14624000,1,457.0,58496058,76c5b82065cff21859d75cb8fc8944945985fc549471e1a7f4b99c91bda6b065,152
Cargo/20171104a-2/2.wav,Cargo,32000,14080000,1,440.0,56320058,8024e4ad25dffacb68e49586d99d4ee6057b88a6705a6b7ad7414d46cbbc7da7,146
Cargo/20171105a-3/3.wav,Cargo,32000,9504000,1,297.0,38016058,43a9daad2237cb996d1bcc24f4dcbba1f6c428efe44f029eaa57faa0c42b0dfd,99
Cargo/20171106-4/4.wav,Cargo,32000,10496000,1,328.0,41984058,b230760b6bb4a15841bc84d584f7e0ea5489c01515e267f000dc0d11197b91e1,109
Cargo/20171107-5/5.wav,Cargo,32000,6656000,1,208.0,26624058,8fdbd4db31e7845d3e95921ad7976062b6b4b84fb968a34aa6d2b33435843207,69
Cargo/20171107b-6/6.wav,Cargo,32000,15584000,1,487.0,62336058,9a3bdb462a89b7c52d5afe3599f8fe460ca990fa100b4e5d760e93c68a7ae758,162
Cargo/20171110-7/7.wav,Cargo,32000,17088000,1,534.0,68352058,a3923ad02ad20073ddb5d9dc5496d126b7b07a9857815965e8f39d3c998b542d,178
Cargo/20171111-8/8.wav,Cargo,32000,8928000,1,279.0,35712058,7261d8875bfe5cfea1e73dac36819c3db07d7fb874ea1f82defa5f7e04611983,93
Cargo/20171111e-9/9.wav,Cargo,32000,9600000,1,300.0,38400058,3ec73893bea35defcb17671426eaa7ec04cd01273c6a33174290815edeb70ac4,100
Cargo/20171111f-10/10.wav,Cargo,32000,9312000,1,291.0,37248058,5f5167ecc46cbbc5f9cde6556d4d3c8660692aaecd3818b07f85ac1090629bb7,97
Cargo/20171111g-11/11.wav,Cargo,32000,14112000,1,441.0,56448058,b6d5306088c2616ba959fe360142bf08ec1ccddc822e77d8d12042b485552698,147
Cargo/20171112-12/12.wav,Cargo,32000,8160000,1,255.0,32640058,ff6ab36041a66a43a36196acd44794525588f9ba8a81bc65c5b13ed700dcfc66,85
Cargo/20171113-13/13.wav,Cargo,32000,11104000,1,347.0,44416058,51520660bfa026974e820f1036dd77a9903f5086be61bbd61f2abaacfea6b070,115
Cargo/20171114a-14/14.wav,Cargo,32000,12256000,1,383.0,49024058,be95e14bcaccb4c43160aee80628a2488b824f1917b19824ad4da9fb880ddfd6,127
Cargo/20171114b-15/15.wav,Cargo,32000,5984000,1,187.0,23936058,a899976dfb3187e81b87825587fbad2593d8621aef871677d828215e6628cda4,62
Cargo/20171114c-16/16.wav,Cargo,32000,9408000,1,294.0,37632058,f258383c22483476dd58969d83ad4b84e9536ef7c931e7536d21995236ccae2b,98
Cargo/20171114d-17/17.wav,Cargo,32000,6976000,1,218.0,27904058,55573269986f027cdbfdc8ea101728d75e80ed7ce9f5e0ec15c4e373a7cadd3e,72
Cargo/20171115a-18/18.wav,Cargo,32000,13952000,1,436.0,55808058,766ec2c0af0234dbf872072e389e6f2a587d0843cb1b83939c18a83dbf4a19ef,145
Cargo/20171115b-19/19.wav,Cargo,32000,10912000,1,341.0,43648058,ec3638a7f18baf222d21765ab230ec5d6c48b9f10963478974cdd2c1eb3927a2,113
Cargo/20171115d-20/20.wav,Cargo,32000,12512000,1,391.0,50048058,498b4fdda6d652858c7df4e29be0aa6bdf007e91e05219f1a367dd0df8f1487c,130
Cargo/20171116-22/002044.wav,Cargo,32000,11424000,1,357.0,45696058,e5e6cc60ad20d9bbccbf82bded3db48eca846c9854edd96c6e8448b62d838c57,119
Cargo/20171117a-24/045829.wav,Cargo,32000,9600000,1,300.0,38400058,26752f259ed07264dac8486a4815316f11e7de356a431e8034e859e47d13b5e9,100
Cargo/20171117b-25/055206.wav,Cargo,32000,12096000,1,378.0,48384058,8688dc0236dafa76074ebe6dfbc29f30e0ee331c786063988749bbe12fbb62fb,126
Cargo/20171117d-26/225044.wav,Cargo,32000,7072000,1,221.0,28288058,6dfeeba17fb3b2c67da954417b193d0754bf64619a7a490435698debe9d476c9,73
Cargo/20171118-27/27.wav,Cargo,32000,6272000,1,196.0,25088058,cdf54f9b1ae2cc9e9b2e455a4d4219deabe24ab5710ea5af0e9e54467b07d532,65
Cargo/20171118a-28/074918.wav,Cargo,32000,15616000,1,488.0,62464058,13986f945671fbc87ed9511fc971db8167cc2bddafd73105e620e0ca7eda22c5,162
Cargo/20171119b-29/151043.wav,Cargo,32000,10848000,1,339.0,43392058,d0aaf3b63712da9502af3fea98aa2a39b73e05d38ab0d35060ac78b39729b8c1,113
Cargo/20171120-30/214753.wav,Cargo,32000,10368000,1,324.0,41472058,45abc3382356251a4d3cf07de6ec2ebe09b697dfdcd49147177ba7267ea83187,108
Cargo/20171121-31/031902.wav,Cargo,32000,32640000,1,1020.0,130560058,34f9ba378fb98ccb303fb28ff60cfddbaa3eb105e7faa7ee84a17739f2f4eb11,340
Cargo/20171121c-32/111158.wav,Cargo,32000,23552000,1,736.0,94208058,3835c3b81a887c797ccac9cf77fe42c685bae6859a7862f57d289b00f9a1f1a2,245
Cargo/20171121e-33/202039.wav,Cargo,32000,11104000,1,347.0,44416058,4d3454b7b4ebdf2eab4439f113c8c7bf56af1edcb244e38fe50e54c119e01973,115
Cargo/20171121f-34/210343.wav,Cargo,32000,12480000,1,390.0,49920058,a33afdb0df3b0faa43a36bee5756e4f00e97362514f87dc7166ffc31b7c4f9ff,130
Cargo/20171122a-35/060651.wav,Cargo,32000,9696000,1,303.0,38784058,590415f97179133b40c591157678d7d7b94062b24456ffc4f72139c7115b3269,101
Cargo/20171122b-36/075414.wav,Cargo,32000,8544000,1,267.0,34176058,fb8451cbf6c4be3345e19784b110d7e457c472c331bca689a4d3829619f55fa7,89
Cargo/20171122c-37/113017.wav,Cargo,32000,14880000,1,465.0,59520058,e043ca2eaf47b26ccd73c911ff989968467c7dc043f273b8f574f160fe08ace6,155
Cargo/20171122d-38/38.wav,Cargo,32000,6272000,1,196.0,25088058,8d7a6b085ec4534cfdc431a8fe193f27b13ef33b9704113b1acedcd1dd66c2d1,65
Cargo/20171123-39/004508.wav,Cargo,32000,11136000,1,348.0,44544058,6a820cb9c4dd4da58d0db935b1fe178cd46dce8784f5b8c4bfae55e5b27cb4be,116
Cargo/20171123c-40/135730.wav,Cargo,32000,17184000,1,537.0,68736058,7067c13dca835cacdf365fae98157d01389d7a9f1f0d50123b6ec58319208d62,179
Cargo/20171124a-41/41.wav,Cargo,32000,5856000,1,183.0,23424058,21110d18a533fc904edcc3dca22c5dc6f946bf3e32b4075d71dce04eba12339c,61
Cargo/20171124c-42/134001.wav,Cargo,32000,12992000,1,406.0,51968058,4a733ad83d755d15f20a795dad7e71e2c03b79c4de459e8bf8bc037efdf1ecc1,135
Cargo/20171124d-43/161634.wav,Cargo,32000,11232000,1,351.0,44928058,1d49c61ad9ffa8162ab785f800b3fb8cc6c158af13f6ff20a3be936567f6e15e,117
Cargo/20171125-44/44.wav,Cargo,32000,6400000,1,200.0,25600058,50ebadbed85f2760e85f0ed01a534d40df0fa81b2e0aa2be982406ab268344a5,66
Cargo/20171125b-45/45.wav,Cargo,32000,11616000,1,363.0,46464058,60fca2484d14c957147211fc00c3a9a1aeb0d496c5dced969779554a2ee7833d,121
Cargo/20171125c-46/134833.wav,Cargo,32000,18752000,1,586.0,75008058,9c76d7ed38053289d8fa651b593ac531e9775e0e2c43614fad36726e817ba007,195
Cargo/20171125d-47/214505.wav,Cargo,32000,6816000,1,213.0,27264058,0daef9a70b15c5252d8fc41de6662ec106f7bb6ce7da47d1d09f24ab1180ee4b,71
Cargo/20171125e-48/234924.wav,Cargo,32000,16000000,1,500.0,64000058,442d04e141138ee519b3b1400ad7873512d7053147a0e98b491df0e4ec73037d,166
Cargo/20171126-49/023314.wav,Cargo,32000,8032000,1,251.0,32128058,9e9b82bc49ed93af416b060ae1c919e9fd4e85ce0aa6c27fd01b468c8400e5b7,83
Cargo/20171126a-50/035027.wav,Cargo,32000,7232000,1,226.0,28928058,229542830bdb65e9234e593defb263f7912ab1d48df630866f42ce769d086b90,75
Cargo/20171126b-51/044753.wav,Cargo,32000,15328000,1,479.0,61312058,406d48e753bc935a7cd6f0bd37f7ffaa408d05be5c86e11d2b64c3d7773f80d1,159
Cargo/20171126c-52/063408.wav,Cargo,32000,11904000,1,372.0,47616058,bf578997cb94629367c5b0cab31932fbb34924f823ddc7d68512c0f981cf1668,124
